state,2016,2017,2018
 AC,816687,829619,869265
 AL,3358963,3375823,3322820
 AP,782295,797722,829494
 AM,4001667,4063614,4080611
 BA,15276566,15344447,14812617
 CE,8963663,9020460,9075649
 DF,2977216,3039444,2974703
 ES,3973697,4016356,3972388
 GO,6695855,6778772,6921161
 MA,6954036,7000229,7035055
 MT,3305531,3344544,3441998
 MS,2682386,2713147,2748023
 MG,20997560,21119536,21040662
 PA,8272724,8366628,8513497
 PB,3999415,4025558,3996496
 PR,11242720,11320892,11348937
 PE,9410336,9473266,9496294
 PI,3212180,3219257,3264531
 RJ,16635996,3507003,17159960
 RN,3474998,11322895,3479010
 RS,11286500,16718956,11329605
 RO,1787279,1805788,1757589
 RR,514229,522636,576568
 SC,6910553,7001161,7075494
 SP,44749699,45094866,45538936
 SE,2265779,2288116,2278308
 TO,1532902,1550194,1555229
